"Corr_int_SCL_cases.eps","Corr_int_SCL_cases.m1","Corr_int_SCL_cases.m2","Corr_int_SCL_cases.m3","Corr_int_SCL_cases.m4","Corr_int_SCL_cases.m5","Corr_int_SCL_cases.m6","Corr_int_CL_cases.eps","Corr_int_CL_cases.m1","Corr_int_CL_cases.m2","Corr_int_CL_cases.m3","Corr_int_CL_cases.m4","Corr_int_CL_cases.m5","Corr_int_CL_cases.m6","Corr_int_SCL_cases_icovid.eps","Corr_int_SCL_cases_icovid.m1","Corr_int_SCL_cases_icovid.m2","Corr_int_SCL_cases_icovid.m3","Corr_int_SCL_cases_icovid.m4","Corr_int_SCL_cases_icovid.m5","Corr_int_SCL_cases_icovid.m6","Corr_int_SCL_deaths.eps","Corr_int_SCL_deaths.m1","Corr_int_SCL_deaths.m2","Corr_int_SCL_deaths.m3","Corr_int_SCL_deaths.m4","Corr_int_SCL_deaths.m5","Corr_int_SCL_deaths.m6","Corr_int_CL_deaths.eps","Corr_int_CL_deaths.m1","Corr_int_CL_deaths.m2","Corr_int_CL_deaths.m3","Corr_int_CL_deaths.m4","Corr_int_CL_deaths.m5","Corr_int_CL_deaths.m6"
0.0424046812433136,0.230924865402421,0.122080861424505,0.078358080998594,0.050924179554885,0.032063372312335,0.0204039641987586,0.0424050482700925,0.122859679533252,0.0383038092419566,0.010315816175538,0.00304401133048662,0.000972392508349892,0.000380501416310827,0.0424046812433136,0.2401137504182,0.130478420876547,0.085480093676815,0.0561726329876213,0.0354633656741385,0.0225828036132486,0.0424066535875931,0.12747136276548,0.0558069381598793,0.0234804940687294,0.0101096571684807,0.00432106314459256,0.00142676613264849,0.0424050482700925,0.129310344827586,0.050268696820421,0.0182489923869234,0.00589640244812659,0.0019405881474847,0.000746380056724884
0.0448275602642343,0.244058845718597,0.133808854291691,0.0867254209389253,0.0576797777853983,0.0376187373546861,0.0244161722849011,0.0448279631848982,0.131399822432672,0.0428275483025409,0.012598824673403,0.00414323764427345,0.00152200566524331,0.000549613156893417,0.0448275602642343,0.253261960521914,0.142656406825025,0.0943793911007026,0.0637002341920375,0.0420207427233188,0.0273001003680161,0.0448297254981921,0.12747136276548,0.0584158819452937,0.0253556724144959,0.0116179527944234,0.00505482858424035,0.00183441359911948,0.0448279631848982,0.138154948499776,0.0548962531721152,0.0214957456336767,0.00723988655023138,0.00246305418719212,0.00097029407374235
0.0473888754808273,0.256541270875484,0.145674016666095,0.0954699770241075,0.066287164363362,0.0449573059908782,0.0304516306025171,0.047389317198912,0.139178962499472,0.0468016742062318,0.0150086669767049,0.00553840950407982,0.00232528643301061,0.000972392508349892,0.0473888754808273,0.265607226497156,0.154533288725326,0.103813984610238,0.0732017397122783,0.0501840080294413,0.0340247574439612,0.0473912492079127,0.145407851290204,0.0666503607680078,0.0297990297990298,0.0138600138600139,0.00635930047694754,0.00256817903876727,0.047389317198912,0.146253172115241,0.0608672936259143,0.0248917748917749,0.00891924167786237,0.00302283922973578,0.00115688908792357
0.0500965367309782,0.270086759713316,0.159288090257536,0.105209012036624,0.074585919550084,0.0518843661054148,0.0361098727752821,0.0500970203646383,0.147169492241999,0.0511563015262335,0.0177567327611719,0.00722952690990572,0.00321312307106921,0.00122606011922378,0.0500965367309782,0.279023084643694,0.168049514887922,0.113716962194714,0.082067581130813,0.0578454332552693,0.0404148544663767,0.050099135708004,0.145407851290204,0.0748033100974277,0.0342831519302108,0.016795075618605,0.00807141983612572,0.00350576821165056,0.0500970203646383,0.154761904761905,0.0670249290938946,0.0283997611583818,0.0105985968054934,0.00380653828929691,0.00149276011344977
0.0529589057974928,0.285449744521793,0.173725180892288,0.116525496382154,0.0843249545626007,0.0598401975240904,0.043002640513014,0.0529594346945476,0.154990910243944,0.0566947110303133,0.0207161882213673,0.00879381051029468,0.00443918319029299,0.00177567327611719,0.0529589057974928,0.294078287052526,0.182469053195049,0.125092004014721,0.0921043827367012,0.0664436266309803,0.0483104717296755,0.0529617480154949,0.163385104561575,0.0792874322286087,0.0394195100077453,0.0198524316171375,0.0100688924218336,0.00456565162447515,0.0529594346945476,0.162785490371697,0.0743021346469622,0.0322809374533512,0.0132109270040305,0.0048141513658755,0.00201522615315719
0.055984822230903,0.300195466547786,0.188813826686328,0.129865230959158,0.0952642227632797,0.0694077706525839,0.0506841329172525,0.0559853999849019,0.163150551727054,0.0631632351075973,0.0244366465141842,0.0104003720458293,0.00528474189320594,0.00266350991417579,0.055984822230903,0.308765473402476,0.197557711609234,0.13830712612914,0.103211776513884,0.0764469722315156,0.0567079290732687,0.0559879270014763,0.163385104561575,0.088011088011088,0.0454934572581631,0.0242550242550243,0.0128816599404835,0.00591088826382944,0.0559853999849019,0.171144947007016,0.08068368413196,0.0366472607851918,0.0158232572025675,0.00604567845947156,0.00253769219286461
0.0591836306477125,0.317684578718151,0.203731010596344,0.142793457014506,0.106032029079936,0.0806556702445047,0.0602859984225507,0.0591842611150862,0.170971969728998,0.0693780915740075,0.0276920475203991,0.0125565467382573,0.00638396820699277,0.00321312307106921,0.0591836306477125,0.325995316159251,0.212479089996654,0.15152224824356,0.114386082301773,0.088056206088993,0.0668785547005687,0.0591870186951825,0.181525416819534,0.0982838041661571,0.0517304634951694,0.0292690880926175,0.0161836044188985,0.00807141983612572,0.0591842611150862,0.179317808628153,0.088781907747425,0.0414240931482311,0.0189207344379758,0.00779967159277504,0.00339602925809822
0.0625652095883837,0.334590720482837,0.220088474332156,0.157436301910085,0.117451390555879,0.0909776756627002,0.0706765885943555,0.0625658969067528,0.180907284488226,0.0770726757705154,0.0319621189701095,0.0153046125227244,0.00777914006679914,0.00372045829281698,0.0625652095883837,0.342622950819672,0.228604884576782,0.166309802609568,0.126363332218133,0.0992305118768819,0.0778521244563399,0.0625689031482002,0.181525416819534,0.105009987362929,0.0584974114385879,0.033549386490563,0.0194855488973136,0.0104765398883046,0.0625658969067528,0.189617853410957,0.0972533213912524,0.0474697716077026,0.0221301686818928,0.0100761307657859,0.00436632333184057
0.0661400020241859,0.35074242995782,0.235657213401461,0.172627824834539,0.130413908988032,0.101882651486575,0.0808957168821371,0.0661407506319044,0.188940092165899,0.083837145393819,0.036105356614383,0.0180104003720458,0.00951253540777068,0.00477740667145817,0.0661400020241859,0.35864837738374,0.244028103044496,0.181398461023754,0.139310806289729,0.110572097691536,0.0889595182335229,0.0661440249479488,0.200644082997024,0.114304349598467,0.0662019485548897,0.0391749215278627,0.0236027883086707,0.0138600138600139,0.0661407506319044,0.198798328108673,0.107254814151366,0.0538886400955366,0.0260486639796985,0.0123525899387968,0.00570980743394536
0.0699190476071149,0.363739240766778,0.252974863687802,0.187716470628579,0.143616474057817,0.113816398614588,0.0919721545900346,0.0699198622641275,0.198410349638524,0.0913626178497442,0.0412209867670063,0.0209275778970955,0.0112036528135966,0.00570752124466241,0.0699190476071149,0.371629307460689,0.261291401806624,0.196420207427233,0.15242556038809,0.122549347607896,0.10033456005353,0.0699234254746676,0.218376747788512,0.123802535567241,0.0724797195385431,0.0457788104846928,0.0278830867066161,0.0166727813786637,0.0699198622641275,0.208575906851769,0.116211374832064,0.0613897596656217,0.0313852813852814,0.0149276011344977,0.00694133452754142
