"C.m_SCL_cases.eps","C.m_SCL_cases.m1","C.m_SCL_cases.m2","C.m_SCL_cases.m3","C.m_CL_cases.eps","C.m_CL_cases.m1","C.m_CL_cases.m2","C.m_CL_cases.m3","C.m_SCL_cases_icovid.eps","C.m_SCL_cases_icovid.m1","C.m_SCL_cases_icovid.m2","C.m_SCL_cases_icovid.m3","C.m_SCL_deaths.eps","C.m_SCL_deaths.m1","C.m_SCL_deaths.m2","C.m_SCL_deaths.m3","C.m_CL_deaths.eps","C.m_CL_deaths.m1","C.m_CL_deaths.m2","C.m_CL_deaths.m3","C.m_CL_deaths.m4"
0.0136667635150291,0.0787712800722044,0.0205409106470387,0.00641125392922723,0.013666790812731,0.0429240548678488,0.00438273670123787,0.000468384074941452,0.0136667635150291,0.0835359922178988,0.0220695525291829,0.00674854085603113,0.0136669102064566,0.0367191225560324,0.00737317046329922,0.000917061002897913,0.0137864537867411,0.042501517911354,0.00597045132564258,0.00104567226607299,6.7462726843419e-05
0.0143971532066757,0.0835330366312906,0.0223460209766269,0.00725156391024244,0.014397186756009,0.0450317832050853,0.00471729675476748,0.000468384074941452,0.0143971532066757,0.0883998054474708,0.0241062743190661,0.00772130350194553,0.0143973334930311,0.0367191225560324,0.00737317046329922,0.00124720296394116,0.0145443616296202,0.0446603251703434,0.00671254132092019,0.00114686635633812,6.7462726843419e-05
0.0151665769462207,0.08754785098503,0.0249914412872304,0.00874544832093617,0.0151666173374304,0.0481431917029107,0.00531950485112078,0.000468384074941452,0.0151665769462207,0.092534046692607,0.0270549610894942,0.00945403696498054,0.015166793999395,0.0367191225560324,0.00737317046329922,0.00124720296394116,0.0153439353212508,0.0475274910611887,0.00758955676988464,0.00128179181002496,6.7462726843419e-05
0.0159771208212868,0.092153994584669,0.0275434938221655,0.00986586162895646,0.015977168689851,0.0506858481097357,0.00602208096353295,0.000602208096353295,0.0159771208212868,0.0974586575875486,0.0297908560311284,0.0106091926070039,0.015977378056251,0.0367191225560324,0.00737317046329922,0.00124720296394116,0.0161874654342513,0.0507319705862511,0.00836537812858396,0.00158537408082035,6.7462726843419e-05
0.0168309824057963,0.0979427966761072,0.0304378948678846,0.0115776041828763,0.0168310384355755,0.0539645366343259,0.00665774506523921,0.0007694881231181,0.0168309824057963,0.103538424124514,0.0328915369649805,0.0123419260700389,0.0168312834975246,0.0367191225560324,0.00902388026851546,0.00135725028428891,0.0170773684650621,0.053767793294205,0.00917493085070499,0.00185522498819402,0.000101194090265129
0.017730476718108,0.103513740624319,0.0338613799757244,0.0137873082070275,0.0177305416447011,0.0575777852124456,0.00752760120441619,0.000836400133824021,0.017730476718108,0.109405398832685,0.0365089980544747,0.0145610408560311,0.0177308256196146,0.0561241333773523,0.0104178129929203,0.00179743956567991,0.0180161937565852,0.0566012278216285,0.0100856776630911,0.00209134453214599,0.000236119543951967
0.0186780424975732,0.108804581245526,0.0371292521241169,0.0156235411285052,0.0186781171118947,0.0608564737370358,0.00836400133824021,0.000936768149882904,0.0186780424975732,0.114877188715953,0.0400352626459144,0.0164457684824903,0.0186784434591348,0.0561241333773523,0.0129122189208026,0.00212758152672316,0.0190066308013949,0.0602779464345949,0.0114012008365378,0.00239492680294137,0.000269850907373676
0.019676248816528,0.115464815909869,0.0403348790887305,0.0179577355202141,0.0196763339686195,0.0634325861492138,0.00899966543994647,0.00117096018735363,0.019676248816528,0.121747324902724,0.0433487354085603,0.0187864785992218,0.0196767064061667,0.0561241333773523,0.0129122189208026,0.00238435860753457,0.020051516946441,0.0634486945962356,0.0124468731026108,0.00290089725426702,0.000337313634217095
0.0207278020456492,0.122000560206654,0.0443185708505804,0.0205409106470387,0.02072789864874,0.0667112746738039,0.00993643358982937,0.00123787219805955,0.0207278020456492,0.128556663424125,0.0474829766536965,0.0216135700389105,0.0207283211709556,0.0561241333773523,0.0154433072888009,0.00297127764938924,0.0211538455213169,0.0667880995749848,0.0138635903663226,0.00333940497874924,0.000438507724482224
0.0218355531915575,0.128598549687218,0.0483022626124304,0.0234353116927578,0.0218356622263909,0.0706925393108063,0.0108062897290064,0.0013716962194714,0.0218355531915575,0.135366001945525,0.0517692120622568,0.0247446498054475,0.0218361391229393,0.0561241333773523,0.0154433072888009,0.00352151425112799,0.0223167744133775,0.0704648181879512,0.0156850839910949,0.00371044997638805,0.000640895905012481
0.0230025056265634,0.13532102953534,0.0531885095390744,0.0261740997790296,0.0230026281460044,0.0740046838407494,0.0120441619270659,0.00187353629976581,0.0230025056265634,0.142296935797665,0.0569978112840467,0.027602140077821,0.0230031640220084,0.076006015920179,0.0170206522137853,0.00363156157147573,0.0235436351142728,0.0745800445253997,0.0175403089792889,0.00414895770087027,0.000843284085542738
0.0242318232315112,0.142541470853693,0.0569854657495876,0.0293174815598643,0.0242319603654545,0.0787888926062228,0.0133489461358314,0.00217464034794246,0.0242318232315112,0.149835846303502,0.0612536478599222,0.0311588035019455,0.0242325601629613,0.076006015920179,0.02021202450387,0.0042184806133304,0.0248379422638135,0.0787964649531134,0.0191931457869527,0.00482358496930446,0.00118059771975983
0.0255268389737997,0.151940493604307,0.0621206934113473,0.0323363729731412,0.0255269919343956,0.0827032452325192,0.0149213783874205,0.00270993643358983,0.0255268389737997,0.159472276264591,0.0667558365758755,0.0344418774319066,0.0255276609552372,0.076006015920179,0.0216059572282748,0.0050988591761124,0.0262034037185081,0.0827093031100317,0.0214531471362072,0.00536328678405181,0.00138298590029009
0.026891063943836,0.159285425290218,0.0679717406865644,0.0363200647349911,0.0268912340310556,0.0869856139176982,0.0169956507193041,0.00337905654064905,0.026891063943836,0.166980787937743,0.0731395914396887,0.0389713035019455,0.026891977961189,0.076006015920179,0.0244305051172004,0.00619933237958989,0.0276439311736165,0.0876340821696013,0.0236794171220401,0.00610537677932942,0.00172029953450718
0.0283281968744225,0.167626279916591,0.0743518720239022,0.0416420279480875,0.0283283854819818,0.0920709267313483,0.0186349949815992,0.00371361659417865,0.0283281968744225,0.175522859922179,0.0799185311284047,0.044959873540856,0.0283292104174044,0.076006015920179,0.0244305051172004,0.00704302850225597,0.0291636513691496,0.0931660257707616,0.0264453889226203,0.00671254132092019,0.00195641907845915
