"S_nu_BE_cases"
-4.28691127330465
-3.55320540600566
-3.5396302740676
-3.39028064375907
-3.36089081141061
-3.51242504519481
-3.26540952665154
-3.37261423844005
-3.05205487590266
-2.99781836985453
-2.89224158640763
-2.80007054523734
-2.80451104406003
-2.64039554793054
-2.62679730621831
-2.46665039476531
-2.41196874184983
-2.34579462145333
-2.26179242059755
-2.25309393047507
-2.1541090407726
-2.10810310069494
-2.01887984166886
-1.97493249989448
-1.95709751302605
-1.90007997802964
-1.87735850414787
-1.81969475431782
-1.77944647379854
-1.73309177850756
-1.72500891099195
-1.72819457067201
-1.70278020779822
-1.6825291469662
-1.65485742277689
-1.6390349441266
-1.60732527337427
-1.63692455816097
-1.66806315684377
-1.65796954803727
-1.66078144666758
-1.63176462396077
-1.63549647997747
-1.63419078189159
-1.68813963638968
-1.71037872689528
-1.70846843703228
-1.71064388326461
-1.68800525367538
-1.72791319670538
