areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-01-07,721,80855
overview,United Kingdom,K02000001,2021-01-06,771,80134
overview,United Kingdom,K02000001,2021-01-05,753,79363
overview,United Kingdom,K02000001,2021-01-04,767,78610
overview,United Kingdom,K02000001,2021-01-03,667,77843
overview,United Kingdom,K02000001,2021-01-02,660,77176
overview,United Kingdom,K02000001,2021-01-01,656,76516
overview,United Kingdom,K02000001,2020-12-31,689,75860
overview,United Kingdom,K02000001,2020-12-30,662,75171
overview,United Kingdom,K02000001,2020-12-29,648,74509
overview,United Kingdom,K02000001,2020-12-28,646,73861
overview,United Kingdom,K02000001,2020-12-27,616,73215
overview,United Kingdom,K02000001,2020-12-26,635,72599
overview,United Kingdom,K02000001,2020-12-25,589,71964
overview,United Kingdom,K02000001,2020-12-24,562,71375
overview,United Kingdom,K02000001,2020-12-23,555,70813
overview,United Kingdom,K02000001,2020-12-22,546,70258
overview,United Kingdom,K02000001,2020-12-21,559,69712
overview,United Kingdom,K02000001,2020-12-20,501,69153
overview,United Kingdom,K02000001,2020-12-19,483,68652
overview,United Kingdom,K02000001,2020-12-18,507,68169
overview,United Kingdom,K02000001,2020-12-17,524,67662
overview,United Kingdom,K02000001,2020-12-16,436,67138
overview,United Kingdom,K02000001,2020-12-15,450,66702
overview,United Kingdom,K02000001,2020-12-14,474,66252
overview,United Kingdom,K02000001,2020-12-13,412,65778
overview,United Kingdom,K02000001,2020-12-12,439,65366
overview,United Kingdom,K02000001,2020-12-11,451,64927
overview,United Kingdom,K02000001,2020-12-10,443,64476
overview,United Kingdom,K02000001,2020-12-09,428,64033
overview,United Kingdom,K02000001,2020-12-08,433,63605
overview,United Kingdom,K02000001,2020-12-07,419,63172
overview,United Kingdom,K02000001,2020-12-06,415,62753
overview,United Kingdom,K02000001,2020-12-05,392,62338
overview,United Kingdom,K02000001,2020-12-04,470,61946
overview,United Kingdom,K02000001,2020-12-03,470,61476
overview,United Kingdom,K02000001,2020-12-02,386,61006
overview,United Kingdom,K02000001,2020-12-01,402,60620
overview,United Kingdom,K02000001,2020-11-30,421,60218
overview,United Kingdom,K02000001,2020-11-29,460,59797
overview,United Kingdom,K02000001,2020-11-28,460,59337
overview,United Kingdom,K02000001,2020-11-27,419,58877
overview,United Kingdom,K02000001,2020-11-26,430,58458
overview,United Kingdom,K02000001,2020-11-25,483,58028
overview,United Kingdom,K02000001,2020-11-24,457,57545
overview,United Kingdom,K02000001,2020-11-23,462,57088
overview,United Kingdom,K02000001,2020-11-22,478,56626
overview,United Kingdom,K02000001,2020-11-21,460,56148
overview,United Kingdom,K02000001,2020-11-20,451,55688
overview,United Kingdom,K02000001,2020-11-19,461,55237
overview,United Kingdom,K02000001,2020-11-18,487,54776
overview,United Kingdom,K02000001,2020-11-17,439,54289
overview,United Kingdom,K02000001,2020-11-16,424,53850
overview,United Kingdom,K02000001,2020-11-15,450,53426
overview,United Kingdom,K02000001,2020-11-14,428,52976
overview,United Kingdom,K02000001,2020-11-13,434,52548
overview,United Kingdom,K02000001,2020-11-12,418,52114
overview,United Kingdom,K02000001,2020-11-11,387,51696
overview,United Kingdom,K02000001,2020-11-10,387,51309
overview,United Kingdom,K02000001,2020-11-09,480,50922
overview,United Kingdom,K02000001,2020-11-08,413,50442
overview,United Kingdom,K02000001,2020-11-07,389,50029
overview,United Kingdom,K02000001,2020-11-06,400,49640
overview,United Kingdom,K02000001,2020-11-05,376,49240
overview,United Kingdom,K02000001,2020-11-04,329,48864
overview,United Kingdom,K02000001,2020-11-03,359,48535
overview,United Kingdom,K02000001,2020-11-02,331,48176
overview,United Kingdom,K02000001,2020-11-01,356,47845
overview,United Kingdom,K02000001,2020-10-31,320,47489
overview,United Kingdom,K02000001,2020-10-30,338,47169
overview,United Kingdom,K02000001,2020-10-29,310,46831
overview,United Kingdom,K02000001,2020-10-28,283,46521
overview,United Kingdom,K02000001,2020-10-27,266,46238
overview,United Kingdom,K02000001,2020-10-26,277,45972
overview,United Kingdom,K02000001,2020-10-25,247,45695
overview,United Kingdom,K02000001,2020-10-24,213,45448
overview,United Kingdom,K02000001,2020-10-23,222,45235
overview,United Kingdom,K02000001,2020-10-22,234,45013
overview,United Kingdom,K02000001,2020-10-21,222,44779
overview,United Kingdom,K02000001,2020-10-20,194,44557
overview,United Kingdom,K02000001,2020-10-19,191,44363
overview,United Kingdom,K02000001,2020-10-18,159,44172
overview,United Kingdom,K02000001,2020-10-17,176,44013
overview,United Kingdom,K02000001,2020-10-16,147,43837
overview,United Kingdom,K02000001,2020-10-15,151,43690
overview,United Kingdom,K02000001,2020-10-14,115,43539
overview,United Kingdom,K02000001,2020-10-13,110,43424
overview,United Kingdom,K02000001,2020-10-12,112,43314
overview,United Kingdom,K02000001,2020-10-11,122,43202
overview,United Kingdom,K02000001,2020-10-10,103,43080
overview,United Kingdom,K02000001,2020-10-09,79,42977
overview,United Kingdom,K02000001,2020-10-08,92,42898
