"S_nu_CO_deaths","S_nu_CO_deaths","S_nu_CO_deaths","S_nu_LA_deaths"
4.21953669264568,4.25038141168526,2.90098627859806,2.90098627859806
5.00703711008929,4.95298147272568,3.33351167351168,3.33351167351168
5.08092577382221,5.18752478796626,3.39544025463966,3.39544025463966
4.92851883770475,5.27449171927143,3.36659906309306,3.36659906309306
4.78989860901529,5.28057207572722,3.40412698503929,3.40412698503929
5.18868190863686,5.19213533971995,3.40073633461523,3.40073633461523
5.15790575137711,4.9074640765404,3.21813319645925,3.21813319645925
5.01600790509228,5.13966708050051,3.41760501472945,3.41760501472945
5.12651726233661,5.37191377605645,3.50159730287868,3.50159730287868
5.291997882638,5.47218902885082,3.54266342516705,3.54266342516705
5.14159556009966,5.55387365905976,3.52968773795161,3.52968773795161
5.06536448253641,5.53407523997071,3.54592256721912,3.54592256721912
5.26158517025331,5.49372885049427,3.51068391520093,3.51068391520093
5.27816610372491,5.45829561013824,3.59824266831443,3.59824266831443
5.09614153422484,5.62515211255555,3.62840233537643,3.62840233537643
5.16800266613517,5.74905583766547,3.71103282293499,3.71103282293499
5.22137268439381,5.86516642753834,3.70540865014148,3.70540865014148
5.13843125377509,5.89669672857025,3.69322022603768,3.69322022603768
5.19384835562797,5.92230269541009,3.74103268947616,3.74103268947616
5.31351909342125,5.85706892082674,3.78122300192185,3.78122300192185
5.30032088109723,5.91363803718478,3.75785380317627,3.75785380317627
5.05197170465973,6.01507984874994,3.83685756762129,3.83685756762129
5.27687908395432,6.17758025387153,3.85029556369621,3.85029556369621
5.40770933999342,6.1195746145161,3.81877274668147,3.81877274668147
5.45906028680791,6.23502705345414,3.84924712688302,3.84924712688302
5.33695602863458,6.22077528317713,3.90804153529044,3.90804153529044
5.45540127198606,6.16716898190838,3.89154401284426,3.89154401284426
5.46665541969165,6.26984303938928,3.92721870498804,3.92721870498804
5.54937374469693,6.32232553957696,3.93125197411616,3.93125197411616
5.51886141317234,6.23910520860085,3.91710662685715,3.91710662685715
5.54112164977249,6.27104281230029,3.90812079280383,3.90812079280383
5.50178159248754,6.26668804913454,3.96300535055561,3.96300535055561
5.63210831937614,6.2226411312443,3.96133403804232,3.96133403804232
5.63074128988839,6.27839261074245,3.96774263686601,3.96774263686601
5.65701666704373,6.26408346144607,3.95677147641182,3.95677147641182
5.64464724699441,6.08464964246598,3.94667890431239,3.94667890431239
5.86653841856347,6.15865066236217,3.93656317094945,3.93656317094945
5.90761750381066,6.09065264220017,3.96452326058389,3.96452326058389
5.96942677573497,6.07471489238101,3.98497253177701,3.98497253177701
5.9086972839395,6.16346370684667,3.96181650744822,3.96181650744822
